25.2130 	EXP 	text_opt1: text = '1. 63'
25.2130 	EXP 	text_opt2: height = 0.05
25.2130 	EXP 	text_opt2: height = 0.05
25.2130 	EXP 	text_opt2: height = 0.05
25.2130 	EXP 	text_opt2: text = '2. 59'
25.2130 	EXP 	text_opt3: height = 0.05
25.2130 	EXP 	text_opt3: height = 0.05
25.2130 	EXP 	text_opt3: height = 0.05
25.2130 	EXP 	text_opt3: text = '3. 57'
25.2130 	EXP 	text_equation: autoDraw = True
25.2130 	EXP 	text_opt1: autoDraw = True
25.2130 	EXP 	text_opt2: autoDraw = True
25.2130 	EXP 	text_opt3: autoDraw = True
29.3766 	DATA 	Keypress: 2
29.3859 	EXP 	text_equation: autoDraw = False
29.3859 	EXP 	text_opt1: autoDraw = False
29.3859 	EXP 	text_opt2: autoDraw = False
29.3859 	EXP 	text_opt3: autoDraw = False
29.3859 	EXP 	text_2: autoDraw = True
31.3864 	EXP 	text_2: autoDraw = False
31.3864 	EXP 	text_2: autoDraw = False
31.3864 	EXP 	text_feedback: text = 'Correct!'
31.3864 	EXP 	text_feedback: autoDraw = True
34.3771 	EXP 	Created sequence: sequential, trialTypes=1, nReps=0, seed=None
34.3776 	EXP 	New trial (rep=0, index=3): OrderedDict([('math_eq', '36 - 13'), ('CorrAns', 23), ('dstr1', 28), ('dstr2', 22), ('CorrAns_key', 2)])
34.4009 	EXP 	text_feedback: autoDraw = False
34.4009 	EXP 	text_equation: height = 0.1
34.4009 	EXP 	text_equation: height = 0.1
34.4009 	EXP 	text_equation: height = 0.1
34.4009 	EXP 	text_equation: text = '36 - 13'
34.4009 	EXP 	text_opt1: height = 0.05
34.4009 	EXP 	text_opt1: height = 0.05
34.4009 	EXP 	text_opt1: height = 0.05
34.4009 	EXP 	text_opt1: text = '1. 28'
34.4009 	EXP 	text_opt2: height = 0.05
34.4009 	EXP 	text_opt2: height = 0.05
34.4009 	EXP 	text_opt2: height = 0.05
34.4009 	EXP 	text_opt2: text = '2. 23'
34.4009 	EXP 	text_opt3: height = 0.05
34.4009 	EXP 	text_opt3: height = 0.05
34.4009 	EXP 	text_opt3: height = 0.05
34.4009 	EXP 	text_opt3: text = '3. 22'
34.4009 	EXP 	text_equation: autoDraw = True
34.4009 	EXP 	text_opt1: autoDraw = True
34.4009 	EXP 	text_opt2: autoDraw = True
34.4009 	EXP 	text_opt3: autoDraw = True
37.5904 	DATA 	Keypress: 2
37.5937 	EXP 	text_equation: autoDraw = False
37.5937 	EXP 	text_opt1: autoDraw = False
37.5937 	EXP 	text_opt2: autoDraw = False
37.5937 	EXP 	text_opt3: autoDraw = False
37.5937 	EXP 	text_2: autoDraw = True
39.5895 	EXP 	text_2: autoDraw = False
39.5895 	EXP 	text_2: autoDraw = False
39.5895 	EXP 	text_feedback: text = 'Correct!'
39.5895 	EXP 	text_feedback: autoDraw = True
42.5793 	EXP 	Created sequence: sequential, trialTypes=1, nReps=0, seed=None
42.5799 	EXP 	New trial (rep=0, index=4): OrderedDict([('math_eq', '38 - 12'), ('CorrAns', 26), ('dstr1', 23), ('dstr2', 36), ('CorrAns_key', 2)])
42.6022 	EXP 	text_feedback: autoDraw = False
42.6022 	EXP 	text_equation: height = 0.1
42.6022 	EXP 	text_equation: height = 0.1
42.6022 	EXP 	text_equation: height = 0.1
42.6022 	EXP 	text_equation: text = '38 - 12'
42.6022 	EXP 	text_opt1: height = 0.05
42.6022 	EXP 	text_opt1: height = 0.05
42.6022 	EXP 	text_opt1: height = 0.05
42.6022 	EXP 	text_opt1: text = '1. 23'
42.6022 	EXP 	text_opt2: height = 0.05
42.6022 	EXP 	text_opt2: height = 0.05
42.6022 	EXP 	text_opt2: height = 0.05
42.6022 	EXP 	text_opt2: text = '2. 26'
42.6022 	EXP 	text_opt3: height = 0.05
42.6022 	EXP 	text_opt3: height = 0.05
42.6022 	EXP 	text_opt3: height = 0.05
42.6022 	EXP 	text_opt3: text = '3. 36'
42.6022 	EXP 	text_equation: autoDraw = True
42.6022 	EXP 	text_opt1: autoDraw = True
42.6022 	EXP 	text_opt2: autoDraw = True
42.6022 	EXP 	text_opt3: autoDraw = True
44.1562 	DATA 	Keypress: 2
44.1644 	EXP 	text_equation: autoDraw = False
44.1644 	EXP 	text_opt1: autoDraw = False
44.1644 	EXP 	text_opt2: autoDraw = False
44.1644 	EXP 	text_opt3: autoDraw = False
44.1644 	EXP 	text_2: autoDraw = True
46.1654 	EXP 	text_2: autoDraw = False
46.1654 	EXP 	text_2: autoDraw = False
46.1654 	EXP 	text_feedback: text = 'Correct!'
46.1654 	EXP 	text_feedback: autoDraw = True
49.1552 	EXP 	Created sequence: sequential, trialTypes=1, nReps=0, seed=None
49.1557 	EXP 	New trial (rep=0, index=5): OrderedDict([('math_eq', '38 + 26'), ('CorrAns', 64), ('dstr1', 54), ('dstr2', 62), ('CorrAns_key', 1)])
49.1797 	EXP 	text_feedback: autoDraw = False
49.1797 	EXP 	text_equation: height = 0.1
49.1797 	EXP 	text_equation: height = 0.1
49.1797 	EXP 	text_equation: height = 0.1
49.1797 	EXP 	text_equation: text = '38 + 26'
49.1797 	EXP 	text_opt1: height = 0.05
49.1797 	EXP 	text_opt1: height = 0.05
49.1797 	EXP 	text_opt1: height = 0.05
49.1797 	EXP 	text_opt1: text = '1. 64'
49.1797 	EXP 	text_opt2: height = 0.05
49.1797 	EXP 	text_opt2: height = 0.05
49.1797 	EXP 	text_opt2: height = 0.05
49.1797 	EXP 	text_opt2: text = '2. 54'
49.1797 	EXP 	text_opt3: height = 0.05
49.1797 	EXP 	text_opt3: height = 0.05
49.1797 	EXP 	text_opt3: height = 0.05
49.1797 	EXP 	text_opt3: text = '3. 62'
49.1797 	EXP 	text_equation: autoDraw = True
49.1797 	EXP 	text_opt1: autoDraw = True
49.1797 	EXP 	text_opt2: autoDraw = True
49.1797 	EXP 	text_opt3: autoDraw = True
50.1844 	DATA 	Keypress: 1
50.1941 	EXP 	text_equation: autoDraw = False
50.1941 	EXP 	text_opt1: autoDraw = False
50.1941 	EXP 	text_opt2: autoDraw = False
50.1941 	EXP 	text_opt3: autoDraw = False
50.1941 	EXP 	text_2: autoDraw = True
52.1944 	EXP 	text_2: autoDraw = False
52.1944 	EXP 	text_2: autoDraw = False
52.1944 	EXP 	text_feedback: text = 'Correct!'
52.1944 	EXP 	text_feedback: autoDraw = True
55.1834 	EXP 	Created sequence: sequential, trialTypes=1, nReps=0, seed=None
55.1838 	EXP 	New trial (rep=0, index=6): OrderedDict([('math_eq', '108 / 2'), ('CorrAns', 54), ('dstr1', 56), ('dstr2', 64), ('CorrAns_key', 2)])
55.2059 	EXP 	text_feedback: autoDraw = False
55.2059 	EXP 	text_equation: height = 0.1
55.2059 	EXP 	text_equation: height = 0.1
55.2059 	EXP 	text_equation: height = 0.1
55.2059 	EXP 	text_equation: text = '108 / 2'
