instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,rest_screen.started,rest_screen.stopped,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,77.8752,77.8755,77.8755,80.4144,3,0,2.5274,,80.4146,83.4155,83.4156,83.4157,0,9,9,9,1,13 * 2,26,24,23,3,83.4253,98.4219,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,98.4301,98.4303,98.4303,100.7682,2,0,2.3271,,100.7683,103.7692,103.7692,103.7692,0,10,10,10,1,31 + 10,41,39,32,3,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,103.7741,103.7741,103.7741,106.5038,1,0,2.7203,,106.5043,109.5048,109.5049,109.5049,0,11,11,11,1,27 - 14,13,10,23,1,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,109.5106,109.5107,109.5107,112.4659,1,0,2.9497,,112.4661,115.4672,115.4673,115.4673,0,12,12,12,1,27 + 18,45,47,52,1,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,115.476,115.4761,115.4761,120.2148,2,0,4.7315,,120.215,123.2168,123.2168,123.2168,0,13,13,13,1,37 + 18,55,47,45,2,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,123.2261,123.2263,123.2263,125.9783,1,0,2.7467,,125.9786,128.9778,128.9779,128.9779,0,14,14,14,1,112 / 2,56,52,46,1,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,128.9875,128.9877,128.9877,130.5393,2,0,1.5432,,130.5396,133.5403,133.5404,133.5404,0,15,15,15,1,110 / 2,55,59,57,2,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,133.5495,133.5497,133.5497,136.8751,3,0,3.3167,,136.8753,139.876,139.8761,139.8761,0,16,16,16,1,22 + 14,36,46,38,3,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,139.8829,139.883,139.883,142.7442,3,0,2.8581,,142.7445,145.7451,145.7452,145.7452,0,17,17,17,1,32 - 9,23,29,21,3,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,145.754,145.7542,145.7542,149.1609,3,0,3.403,,149.1611,152.1611,152.1611,152.1611,0,18,18,18,1,18 * 3,54,52,44,3,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,152.1692,152.1694,152.1694,153.721,2,0,1.5447,,153.7212,156.7222,156.7223,156.7223,0,19,19,19,1,33 - 6,27,29,26,2,156.7316,171.7279,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,171.7361,171.7368,171.7368,173.649,3,0,1.9026,,173.6494,176.6496,176.6496,176.6496,0,20,20,20,1,19 * 3,57,50,53,3,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,176.6584,176.6585,176.6586,180.4769,1,0,3.8072,,180.4771,183.4787,183.4788,183.4788,0,21,21,21,1,140 / 4,45,35,42,1,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,183.4875,183.4876,183.4876,186.5065,1,0,3.0075,,186.5068,189.5067,189.5067,189.5067,0,22,22,22,1,23 + 18,41,39,33,1,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,189.5166,189.5167,189.5167,192.335,3,0,2.8093,,192.3353,195.3368,195.3368,195.3368,0,23,23,23,1,128 / 2,64,60,62,3,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,195.3461,195.3462,195.3463,197.0565,2,0,1.7006,,197.0567,200.0584,200.0585,200.0585,0,24,24,24,1,39 - 11,28,26,27,2,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,200.067,200.0673,200.0673,203.5128,1,0,3.4344,,203.513,206.5138,206.5138,206.5138,0,25,25,25,1,23 + 9,32,31,29,1,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,206.5238,206.524,206.524,209.2886,1,0,2.759,,209.2891,212.2893,212.2894,212.2894,0,26,26,26,1,142 / 2,71,72,74,1,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,212.298,212.2982,212.2982,218.0915,2,0,5.7831,,218.0918,221.0925,221.0926,221.0926,0,27,27,27,1,14 * 3,42,38,40,2,,,,,,,,,,,,
